1,"的",7922684,"de/di2/di4","(possessive particle)/of","part"
2,"一",3050722,"yi1","one/1/single","number"
3,"是",2615490,"shi4","to be","basic verb"
4,"不",2237915,"bu4/bu2","(negative prefix)/not/no","basic"
5,"了",2128528,"le/liao3","(particle indicating change of state), to know/understand","verb, part"
6,"在",2009181,"zai4","(located) at/in","none"
7,"人",1867999,"ren2","man/person/people","basic"
8,"有",1782004,"you3","to have/there is/to exist/to be","verb, part"
9,"我",1690048,"wo3","I/me","pronoun"
10,"他",1595761,"ta1","he/him","pronoun"
11,"这",1552042,"zhe4/zhei4","this/these, this/these","pronoun"
12,"个",1199580,"ge4","(generic measure word)/individual","none"
13,"们",1169853,"men","(plural marker for pronouns)","pronoun"
14,"中",1104541,"zhong1/zhong4","within/among/in/center/while/during/China/Chinese, hit (the mark)","preposition"
15,"来",1079469,"lai2","to come","verb"
16,"上",1069575,"shang4","on top/first/previous/to climb/","preposition"
17,"大",1054064,"da4/dai4","big, doctor","basic"
18,"为",1039036,"wei2/wei4","act as/take...to be/to become, because of","verb"
19,"和",1010465,"he2/he4/huo2/huo4","and/with/harmony/union, poem, soft/warm, to blend","preposition"
20,"国",985350,"guo2","country","none"
21,"地",969349,"de/di4","(adverbial particle)/-ly, earth/ground/land","part"
22,"到",965035,"dao4","to (a place)/until (a time)/to go/to arrive","verb"
23,"以",910627,"yi3","to use/according to/so as to/because/Israel (abbrev.)","verb"
24,"说",874977,"shui4/shuo1","persuade, to speak","verb"
25,"时",833532,"shi2","o'clock/time/when/hour/period","time"
26,"要",811011,"yao1/yao4","demand/request/coerce, important/to want/to be going to/must","verb"
27,"就",771108,"jiu4","at once/then/only/to approach/to undertake","verb"
28,"出",755256,"chu1","to go out/to occur/to produce/to happen/(a measure word for dramas, plays, or operas)","verb"
29,"会",734888,"hui4/kuai4","be possible/be able to/to meet/to see/group, accounting","none"
30,"可",723108,"ke3","may/able to/certain(ly)/to suit/(particle used for emphasis)","part"
31,"也",710259,"ye3","also/too","function"
32,"你",705205,"ni3","you","pronoun"
